Nutrient Data Bank Number,Category,Description,Категория,Ингредиенты,Описание,"Калории, ккал",Влага,Белки,Углеводы,Жиры,"Кальций, мг","Фосфор, мг","Магний, мг","Натрий, мг","Калий, мг","Железо, мг","Медь, мг","Цинк, мг","Марганец, мг","Витамин A, мкг","Витамин E, мг","Витамин Д, мкг","Витамин В1 (тиамин), мг","Витамин В2 (Рибофлавин), мг","Витамин В3 (Ниацин), мг","Витамин В6, мг","Витамин В12, мкг","Пантотеновая кислота, мг","Линолевая кислота, г","Фолиевая кислота, мкг","Альфа-линоленовая кислота, г","Арахидоновая кислота, г","ЭПК, г","ДГК, г","Холин, мг","Селен, мкг","Йод, мкг","Зола, г","Клетчатка, г","Холестерин, мг","Сахар общее, г",Alpha Carotene,Beta Carotene,Beta Cryptoxanthin,Lutein and Zeaxanthin,Lycopene,Refuse Percentage,Retinol,Fat.Monosaturated Fat,Fat.Polysaturated Fat,Fat.Saturated Fat,Household Weights.1st Household Weight,Household Weights.1st Household Weight Description,Household Weights.2nd Household Weight,Household Weights.2nd Household Weight Description,Vitamin A - IU,Vitamin C,Vitamin K
20036,RICE,"RICE,BROWN,LONG-GRAIN,RAW",Крупы,Рис,"Коричневый, Длиннозерный",370,10.37,7.94,77.24,2.92,23,333,143,7,223,1.47,0.277,2.02,3.743,0,1.2,0.0,0.401,0.093,5.091,0.509,0.0,1.493,0.968,0,0.032,0.0,0.0,0.0,31,23.4,2.0,1.53,3.5,0,0.850000024,0,0,0,0,0,0,0,1.056,1.044,0.584,185.0,1 cup,0,,0,0.0,1.9
20040,RICE,"RICE,BROWN,MEDIUM-GRAIN,RAW",Крупы,Рис,"Коричневый, Среднезерный",362,12.37,7.5,76.17,2.68,33,264,143,4,268,1.8,0.277,2.02,3.743,0,0.68,0.0,0.413,0.043,4.308,0.509,0.0,1.493,0.918,0,0.041,0.0,0.0,0.0,0,0.0,2.0,1.27,3.400000095,0,0.0,0,0,0,0,0,0,0,0.971,0.959,0.536,190.0,1 cup,0,,0,0.0,0.0
20067,No Category,SORGHUM,Крупы,Сорго,Обыкновенный,339,9.2,11.3,74.63,3.3,28,287,0,6,350,4.4,0.0,0.0,0.0,0,0.0,0.0,0.237,0.142,2.927,0.0,0.0,0.0,1.49,0,0.065,0.0,0.0,0.0,0,0.0,0.0,1.57,6.300000191,0,0.0,0,0,0,0,0,0,0,0.993,1.37,0.457,192.0,1 cup,0,,0,0.0,0.0
12220,SEEDS,"SEEDS,FLAXSEED",Крупы,Семена,Льна,534,6.96,18.29,28.88,42.16,255,642,392,30,813,5.73,1.22,4.34,2.482,0,0.31,0.0,1.644,0.161,3.08,0.473,0.0,0.985,5.9,0,22.8,0.0,0.0,0.0,79,25.4,0.0,3.72,27.29999924,0,1.549999952,0,0,0,651,0,0,0,7.527,28.73,3.663,167.71,"1 cup, whole",10,"1 tbsp, whole",0,0.6,4.3
20038,No Category,OATS,Крупы,Овес,Обыкновенный,389,8.22,16.89,66.27,6.9,54,523,177,2,429,4.72,0.626,3.97,4.916,0,1.09,0.0,0.763,0.139,0.961,0.119,0.0,1.349,2.42,0,0.111,0.0,0.0,0.0,0,0.0,0.0,1.72,10.60000038,0,0.0,0,0,0,0,0,0,0,2.178,2.535,1.217,156.0,1 cup,0,,0,0.0,0.0
20005,BARLEY,"BARLEY,PEARLED,RAW",Крупы,Перловка,Обыкновенный,352,10.09,9.91,77.72,1.16,29,221,79,9,280,2.5,0.42,2.13,1.322,1,0.02,0.0,0.191,0.114,4.604,0.26,0.0,0.282,0.505,0,0.055,0.0,0.0,0.0,38,37.7,0.0,1.11,15.60000038,0,0.800000012,0,13,0,160,0,0,0,0.149,0.56,0.244,200.0,1 cup,0,,22,0.0,2.2
12036,SUNFLOWER SD KRNLS,"SUNFLOWER SD KRNLS,DRIED",Крупы,Семена,Подсолнечника,584,4.73,20.78,20.0,51.46,78,660,325,9,645,5.25,1.8,5.0,1.95,3,33.23,0.0,1.48,0.355,8.335,1.345,0.0,1.13,23.0,0,0.06,0.0,0.014,0.0,55,53.0,0.0,3.02,8.600000381,0,2.619999886,0,30,0,0,0,46,0,18.528,23.137,4.455,46.0,"1 cup, with hulls edible yield",140,1 cup,50,1.4,0.0
12014,PUMPKIN&SQUASH SD KRNLS,"PUMPKIN&SQUASH SD KRNLS,DRIED",Крупы,Семена,Тыквы и кабочка,541,6.92,24.54,17.81,45.85,43,1174,535,18,807,14.97,1.387,7.46,3.021,19,0.0,0.0,0.21,0.32,1.745,0.224,0.0,0.339,20.7,0,0.12,0.131,0.0,0.0,63,5.6,0.0,4.88,3.900000095,0,1.0,0,228,0,0,0,26,0,14.258,20.904,8.674,138.0,1 cup,28,"1 oz, hulled (142 seeds)",380,1.9,51.4
16069,LENTILS,"LENTILS,RAW",Крупы,Чечевица,Обыкновенный,353,10.4,25.8,60.08,1.06,56,451,122,6,955,7.54,0.519,4.78,1.33,2,0.49,0.0,0.873,0.211,2.605,0.54,0.0,2.14,0.414,0,0.112,0.0,0.0,0.0,96,8.3,0.0,2.67,30.5,0,2.029999971,0,23,0,0,0,0,0,0.189,0.516,0.156,192.0,1 cup,12,1 tablespoon,39,4.4,5.0
4520,FAT,"FAT,MUTTON TALLOW",Масло и жир,Животный Жир,Бараний,902,0.0,0.0,0.0,100.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2.8,0.7,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0,2.3,0.0,0.0,0.0,80,0.2,0.0,0.0,0.0,102,0.0,0,0,0,0,0,0,0,40.6,7.8,47.3,205.0,1 cup,13,1 tbsp,0,0.0,0.0
