Nutrient Data Bank Number,Category,Description,Категория,Ингредиенты,Описание,"Калории, ккал",Влага,Белки,Углеводы,Жиры,"Кальций, мг","Фосфор, мг","Магний, мг","Натрий, мг","Калий, мг","Железо, мг","Медь, мг","Цинк, мг","Марганец, мг","Витамин A, мкг","Витамин E, мг","Витамин Д, мкг","Витамин В1 (тиамин), мг","Витамин В2 (Рибофлавин), мг","Витамин В3 (Ниацин), мг","Витамин В6, мг","Витамин В12, мкг","Пантотеновая кислота, мг","Линолевая кислота, г","Фолиевая кислота, мкг","Альфа-линоленовая кислота, г","Арахидоновая кислота, г","ЭПК, г","ДГК, г","Холин, мг","Селен, мкг","Йод, мкг","Зола, г","Клетчатка, г","Холестерин, мг","Сахар общее, г",Alpha Carotene,Beta Carotene,Beta Cryptoxanthin,Lutein and Zeaxanthin,Lycopene,Refuse Percentage,Retinol,Fat.Monosaturated Fat,Fat.Polysaturated Fat,Fat.Saturated Fat,Household Weights.1st Household Weight,Household Weights.1st Household Weight Description,Household Weights.2nd Household Weight,Household Weights.2nd Household Weight Description,Vitamin A - IU,Vitamin C,Vitamin K
5175,TURKEY,"TURKEY,HEART,ALL CLASSES,RAW",Мясо,Индейка,Сердце,113,76.62,17.13,0.41,4.79,6,222,22,94,295,4.18,0.394,3.37,0.058,23,0.04,0.4,0.212,0.97,4.75,0.441,15.4,3.12,1.79,0,0.097,0.205,0.002,0.006,127,35.9,0.0,1.05,0.0,147,0.0,0,23,0,0,21,0,21,1.391,1.272,1.316,27.15,1 heart,272,10 hearts,107,3.0,0.0
5187,TURKEY,"TURKEY,ALL CLASSES,DK MEAT,RAW",Мясо,Индейка,Тёмное Мясо,125,74.48,20.07,0.0,4.38,17,184,22,77,286,1.75,0.147,3.22,0.022,0,0.0,0.3,0.081,0.221,3.075,0.36,0.4,1.155,0.524,0,0.028,0.036,0.001,0.002,0,28.6,0.0,0.93,0.0,69,0.0,0,0,0,0,0,36,0,0.99,1.31,1.47,132.0,"1 unit,  (yield from 1 lb ready-to-cook turkey)",1017,".5 turkey, bone and skin removed",0,0.0,0.0
17168,GOAT,"GOAT,RAW",Мясо,Козлятина,Мясо,109,75.84,20.6,0.0,2.31,13,180,0,82,385,2.83,0.256,4.0,0.038,0,0.0,0.0,0.11,0.49,3.75,0.0,1.13,0.0,0.1,0,0.02,0.06,0.0,0.0,0,8.8,1.0,1.11,0.0,57,0.0,0,0,0,0,0,0,0,1.03,0.17,0.71,28.35,1 oz,454,1 lb,0,0.0,0.0
5062,CHICKEN,"CHICKEN,BROILERS OR FRYERS,BREAST,MEAT ONLY,RAW",Мясо,Курица,Грудка,110,74.76,23.09,0.0,1.24,11,196,28,65,255,0.72,0.041,0.8,0.018,6,0.13,0.0,0.07,0.092,11.194,0.55,0.38,0.819,0.319,0,0.013,0.048,0.003,0.004,73,17.8,1.4,1.02,0.0,58,0.0,0,0,0,0,0,35,6,0.3,0.28,0.33,71.0,"1 unit,  (yield from 1 lb ready-to-cook chicken)",118,".5 breast, bone and skin removed",21,1.2,0.2
5023,CHICKEN,"CHICKEN,GIZZARD,ALL CLASSES,RAW",Мясо,Курица,Желудок,94,79.33,17.66,0.0,2.06,11,148,15,69,237,2.49,0.116,2.72,0.055,19,0.33,0.0,0.028,0.231,3.68,0.112,1.21,0.631,0.246,0,0.003,0.086,0.0,0.0,0,25.5,0.7,0.95,0.0,240,0.0,0,0,0,0,0,0,19,0.512,0.357,0.529,0.0,,0,,64,3.7,0.0
5011,CHICKEN,"CHICKEN,BROILERS OR FRYERS,MEAT ONLY,RAW",Мясо,Курица,Мясо,119,75.46,21.39,0.0,3.08,12,173,25,77,229,0.89,0.053,1.54,0.019,16,0.21,0.1,0.073,0.142,8.239,0.43,0.37,1.058,0.55,0,0.02,0.08,0.01,0.03,66,15.7,1.8,0.96,0.0,70,0.0,0,0,0,0,0,52,16,0.9,0.75,0.79,197.0,"1 unit,  (yield from 1 lb ready-to-cook chicken)",329,".5 chicken, bone and skin removed",52,2.3,1.8
5080,CHICKEN,"CHICKEN,BROILERS OR FRYERS,LEG,MEAT ONLY,RAW",Мясо,Курица,Нога,120,76.13,20.13,0.0,3.81,11,167,23,86,229,1.02,0.064,2.06,0.021,18,0.32,0.0,0.079,0.193,6.067,0.33,0.36,1.178,0.753,0,0.036,0.098,0.004,0.013,62,13.5,5.0,0.94,0.0,80,0.0,0,0,0,0,0,43,18,1.18,0.95,0.98,78.0,"1 leg, bone and skin removed (yield from 1 lb ready-to-cook chicken)",130,"1 leg, bone and skin removed",61,0.0,2.9
5027,CHICKEN,"CHICKEN,LIVER,ALL CLASSES,RAW",Мясо,Курица,Печень,116,76.46,16.92,0.0,4.83,8,297,19,71,230,8.99,0.492,2.67,0.255,3296,0.7,0.0,0.305,1.778,9.728,0.853,16.58,6.233,0.475,0,0.012,0.326,0.0,0.0,194,54.6,2.7,1.06,0.0,345,0.0,11,56,11,0,40,0,3290,1.249,1.306,1.563,0.0,,0,,11078,17.9,0.0
5025,CHICKEN,"CHICKEN,HEART,ALL CLASSES,RAW",Мясо,Курица,Сердце,153,73.56,15.55,0.71,9.33,12,177,15,74,176,5.96,0.346,6.59,0.089,9,0.0,0.0,0.152,0.728,4.883,0.36,7.29,2.559,1.91,0,0.07,0.72,0.0,0.0,0,4.3,1.2,0.85,0.0,136,0.0,0,0,0,0,0,0,9,2.37,2.71,2.66,6.1,1 heart,2,"1 unit,  (yield from 1 lb ready-to-cook chicken)",30,3.2,0.0
5159,QUAIL,"QUAIL,BREAST,MEAT ONLY,RAW",Мясо,Перепелка,Грудка,123,71.67,22.59,0.0,2.99,10,228,28,55,260,2.31,0.433,2.7,0.018,11,0.0,0.0,0.24,0.243,8.2,0.53,0.47,0.787,0.62,0,0.02,0.08,0.01,0.0,0,18.8,3.1,1.27,0.0,58,0.0,0,0,0,0,0,0,11,0.84,0.77,0.87,208.0,"1 unit,  (yield from 1 lb ready-to cook quail)",56,1 breast,37,5.1,0.0
5158,QUAIL,"QUAIL,MEAT ONLY,RAW",Мясо,Перепелка,Мясо,134,70.03,21.76,0.0,4.53,13,307,25,51,237,4.51,0.594,2.7,0.019,17,0.0,0.0,0.283,0.285,8.2,0.53,0.47,0.787,0.93,0,0.02,0.12,0.01,0.0,0,17.4,3.1,1.32,0.0,70,0.0,0,0,0,0,0,24,17,1.28,1.17,1.32,92.0,1 quail,342,"1 unit,  (yield from 1 lb ready-to cook quail)",57,7.2,0.0
10119,PORK,"PORK,FRSH,VAR MEATS&BY-PRODUCTS,STOMACH,RAW",Мясо,Свинина,Желудок,159,73.5,16.85,0.0,10.14,11,130,11,75,140,1.01,0.169,1.85,0.038,0,0.04,0.0,0.051,0.201,2.48,0.034,0.3,1.22,0.724,0,0.021,0.11,0.0,0.0,195,31.1,0.0,0.63,0.0,223,0.0,0,0,0,0,0,0,0,3.59,0.892,4.025,28.35,1 oz,113,4 oz,0,0.0,0.0
10024,PORK,"PORK,FRSH,LOIN,WHL,LN,RAW",Мясо,Свинина,Мясо,143,72.23,21.43,0.0,5.66,17,211,23,52,389,0.84,0.062,1.84,0.012,2,0.18,0.5,0.989,0.267,4.915,0.527,0.63,0.781,0.49,0,0.02,0.07,0.0,0.0,76,36.1,1.8,1.05,0.0,59,0.0,0,0,0,0,0,30,2,2.56,0.61,1.95,453.6,1 lb,106,"1 chop, excluding refuse (yield from 1 raw chop, with refuse, weighing 151 g)",7,0.6,0.0
10110,PORK,"PORK,FRSH,VAR MEATS&BY-PRODUCTS,LIVER,RAW",Мясо,Свинина,Печень,134,71.06,21.39,2.47,3.65,9,288,18,87,273,23.3,0.677,5.76,0.344,6502,0.0,0.0,0.283,3.005,15.301,0.69,26.0,6.65,0.35,0,0.03,0.44,0.0,0.02,0,52.7,3.1,1.44,0.0,301,0.0,0,0,0,0,0,0,6502,0.52,0.87,1.17,28.35,1 oz,113,4 oz,21650,25.3,0.0
10106,PORK,"PORK,FRSH,VAR MEATS&BY-PRODUCTS,KIDNEYS,RAW",Мясо,Свинина,Почки,100,80.06,16.46,0.0,3.25,9,204,17,121,229,4.89,0.622,2.75,0.123,59,0.0,0.0,0.34,1.697,8.207,0.44,8.49,3.13,0.17,0,0.01,0.08,0.0,0.0,0,190.0,0.0,1.17,0.0,319,0.0,0,0,0,0,0,7,59,1.07,0.26,1.04,28.35,1 oz,233,1 kidney,198,13.3,0.0
10103,PORK,"PORK,FRSH,VAR MEATS&BY-PRODUCTS,HEART,RAW",Мясо,Свинина,Сердце,118,76.21,17.27,1.33,4.36,5,169,19,56,294,4.68,0.408,2.8,0.063,8,0.63,0.0,0.613,1.185,6.765,0.39,3.79,2.515,0.77,0,0.08,0.27,0.0,0.0,0,10.4,0.0,0.84,0.0,131,0.0,0,0,0,0,0,0,8,1.02,1.12,1.16,28.35,1 oz,226,1 heart,25,5.3,0.0
10174,PORK,"PORK,FRSH,VAR MEATS&BY-PRODUCTS,TAIL,RAW",Мясо,Свинина,Хвост,378,46.05,17.75,0.0,33.5,18,50,8,63,349,0.99,0.084,2.31,0.011,0,0.0,0.0,0.21,0.11,2.06,0.37,0.88,0.673,3.19,0,0.28,0.21,0.0,0.0,0,2.7,0.0,0.5,0.0,97,0.0,0,0,0,0,0,30,0,15.8,3.68,11.64,28.35,1 oz,113,4 oz,0,0.0,0.0
10121,PORK,"PORK,FRSH,VAR MEATS&BY-PRODUCTS,TONGUE,RAW",Мясо,Свинина,Язык,225,65.9,16.3,0.0,17.2,16,193,18,110,243,3.35,0.07,3.01,0.011,0,0.29,0.0,0.49,0.485,5.3,0.24,2.84,0.641,1.7,0,0.08,0.0,0.0,0.0,0,10.4,7.7,0.9,0.0,101,0.0,0,0,0,0,0,16,0,8.13,1.78,5.96,28.35,1 oz,113,4 oz,0,4.4,0.0
17207,VEAL,"VEAL,VAR MEATS&BY-PRODUCTS,LUNGS,RAW",Мясо,Телятина,Легкие,90,80.5,16.3,0.0,2.3,7,288,12,108,274,5.23,0.241,1.16,0.018,0,0.0,0.0,0.047,0.231,4.025,0.11,3.83,0.0,0.17,0,2.3,0.0,0.0,0.0,0,17.2,0.0,1.1,0.0,229,0.0,0,0,0,0,0,24,0,0.59,0.31,0.79,28.35,1 oz,113,4 oz,0,39.0,0.0
17090,VEAL,"VEAL,COMP OF RTL CUTS,LN,RAW",Мясо,Телятина,Мясо,112,75.91,20.2,0.0,2.87,15,211,25,86,328,0.85,0.113,3.23,0.029,0,0.26,0.0,0.08,0.28,7.83,0.43,1.4,1.37,0.21,0,0.01,0.08,0.0,0.0,0,8.6,0.0,1.08,0.0,83,0.0,0,0,0,0,0,35,0,0.92,0.3,0.86,28.35,1 oz,454,1 lb,0,0.0,0.0
17202,VEAL,"VEAL,VAR MEATS&BY-PRODUCTS,LIVER,RAW",Мясо,Телятина,Печень,140,70.89,19.93,2.91,4.85,5,379,20,77,308,6.4,11.865,12.02,0.255,11707,0.37,0.0,0.173,2.44,10.55,0.957,59.85,6.065,0.517,0,0.035,0.266,0.0,0.0,310,22.7,0.0,1.42,0.0,334,0.0,13,11,11,0,0,0,11705,0.968,0.829,1.56,0.0,,0,,39056,0.7,0.9
17197,VEAL,"VEAL,VAR MEATS&BY-PRODUCTS,KIDNEYS,RAW",Мясо,Телятина,Почки,99,79.07,15.76,0.85,3.12,11,241,16,178,272,3.36,0.494,1.97,0.08,92,0.0,0.0,0.32,1.9,6.99,0.37,28.2,3.3,0.3,0,0.04,0.18,0.05,0.02,0,80.0,0.0,1.2,0.0,364,0.0,0,0,0,0,0,12,92,0.68,0.62,0.96,28.35,1 oz,113,4 oz,308,5.0,0.0
17193,VEAL,"VEAL,VAR MEATS&BY-PRODUCTS,HEART,RAW",Мясо,Телятина,Сердце,110,77.69,17.18,0.08,3.98,5,211,18,77,261,4.24,0.34,1.47,0.036,0,0.0,0.0,0.52,1.0,6.4,0.43,13.76,2.78,0.71,0,0.03,0.24,0.03,0.0,0,33.3,0.0,1.07,0.0,104,0.0,0,0,0,0,0,26,0,0.84,1.05,1.07,28.35,1 oz,113,4 oz,0,8.0,0.0
17222,VEAL,"VEAL,VAR MEATS&BY-PRODUCTS,TONGUE,RAW",Мясо,Телятина,Язык,131,74.53,17.18,1.91,5.48,7,159,17,82,271,2.72,0.2,2.63,0.023,0,0.0,0.0,0.17,0.41,2.22,0.19,6.1,1.2,0.2,0,0.0,0.0,0.0,0.0,0,7.0,0.0,0.89,0.0,62,0.0,0,0,0,0,0,16,0,2.51,0.31,2.35,28.35,1 oz,113,4 oz,1,5.0,0.0
5141,DUCK,"DUCK,DOMESTICATED,MEAT ONLY,RAW",Мясо,Утятина,Мясо,132,73.77,18.28,0.0,5.95,11,203,19,74,271,2.4,0.253,1.9,0.019,24,0.7,0.1,0.36,0.45,5.3,0.34,0.4,1.6,0.67,0,0.08,0.0,0.0,0.0,54,13.9,1.2,1.06,0.0,77,0.0,0,0,0,0,0,66,24,1.54,0.75,2.32,137.0,"1 unit,  (yield from 1 lb ready-to-cook duck)",303,.5 duck,79,5.8,2.8
5143,DUCK,"DUCK,DOMESTICATED,LIVER,RAW",Мясо,Утятина,Печень,136,71.78,18.74,3.53,4.64,11,269,24,140,230,30.53,5.962,3.07,0.258,11984,0.0,0.0,0.562,0.892,6.5,0.76,54.0,6.184,0.37,0,0.0,0.26,0.0,0.0,0,67.0,0.0,1.32,0.0,515,0.0,0,0,0,0,0,0,11984,0.71,0.63,1.44,44.0,1 liver,10,"1 unit,  (yield from 1 lb ready-to-cook duck)",39907,4.5,0.0
5152,GUINEA HEN,"GUINEA HEN,MEAT ONLY,RAW",Мясо,Цесарка,Мясо,110,74.44,20.64,0.0,2.47,11,169,24,69,220,0.77,0.044,1.2,0.018,12,0.0,0.0,0.067,0.112,8.782,0.47,0.37,0.936,0.4,0,0.02,0.07,0.01,0.03,0,17.5,0.0,1.25,0.0,63,0.0,0,0,0,0,0,36,12,0.68,0.59,0.64,275.0,"1 unit,  (yield from 1 lb ready-to-cook guinea)",264,.5 guinea,41,1.7,0.0
17205,LAMB,"LAMB,VAR MEATS&BY-PRODUCTS,LUNGS,RAW",Мясо,Ягненок,Лёгкие,95,79.7,16.7,0.0,2.6,10,219,14,157,238,6.4,0.254,1.8,0.019,27,0.0,0.0,0.048,0.237,4.124,0.11,3.93,0.0,0.0,0,0.0,0.0,0.0,0.0,0,17.7,0.0,1.1,0.0,0,0.0,0,0,0,0,0,24,27,0.67,0.35,0.89,28.35,1 oz,113,4 oz,89,31.0,0.0
17209,LAMB,"LAMB,VAR MEATS&BY-PRODUCTS,MECHANICALLY SEPARATED,RAW",Мясо,Ягненок,Мясо,276,58.68,14.97,0.0,23.54,162,337,18,59,288,5.9,0.058,3.72,0.012,0,0.0,0.0,0.072,0.118,2.546,0.11,2.56,0.0,0.29,0,0.06,0.0,0.0,0.0,0,20.1,0.0,1.21,0.0,213,0.0,0,0,0,0,0,0,0,8.45,0.76,11.79,28.35,1 oz,227,8 oz,0,0.0,0.0
17199,LAMB,"LAMB,VAR MEATS&BY-PRODUCTS,LIVER,RAW",Мясо,Ягненок,Печень,139,71.37,20.38,1.78,5.02,7,364,19,70,313,7.37,6.979,4.66,0.184,7391,0.0,0.0,0.34,3.63,16.11,0.9,90.05,6.13,0.32,0,0.07,0.36,0.0,0.0,0,82.4,0.0,1.44,0.0,371,0.0,0,0,0,0,0,0,7391,1.05,0.75,1.94,28.35,1 oz,113,4 oz,24612,4.0,0.0
17195,LAMB,"LAMB,VAR MEATS&BY-PRODUCTS,KIDNEYS,RAW",Мясо,Ягненок,Почки,97,79.23,15.74,0.82,2.95,13,246,17,156,277,6.38,0.446,2.24,0.118,95,0.0,0.0,0.62,2.24,7.51,0.22,52.41,4.22,0.21,0,0.07,0.14,0.05,0.03,0,126.9,0.0,1.26,0.0,337,0.0,0,0,0,0,0,3,95,0.63,0.55,1.0,28.35,1 oz,113,4 oz,316,11.0,0.0
17191,LAMB,"LAMB,VAR MEATS&BY-PRODUCTS,HEART,RAW",Мясо,Ягненок,Сердце,122,76.71,16.47,0.21,5.68,6,175,17,89,316,4.6,0.397,1.87,0.046,0,0.0,0.0,0.37,0.99,6.14,0.39,10.25,2.63,0.24,0,0.13,0.09,0.04,0.03,0,32.0,0.0,0.93,0.0,135,0.0,0,0,0,0,0,22,0,1.6,0.55,2.25,28.35,1 oz,113,4 oz,0,5.0,0.0
17220,LAMB,"LAMB,VAR MEATS&BY-PRODUCTS,TONGUE,RAW",Мясо,Ягненок,Язык,222,66.6,15.7,0.0,17.17,9,184,21,78,257,2.65,0.212,2.32,0.049,0,0.0,0.0,0.15,0.38,4.65,0.18,7.2,0.97,0.48,0,0.51,0.06,0.0,0.0,0,15.0,0.0,0.92,0.0,156,0.0,0,0,0,0,0,16,0,8.46,1.06,6.63,28.35,1 oz,113,4 oz,0,6.0,0.0
15114,TROUT,"TROUT,MIXED SPECIES,RAW",Мясо,Рыба,Форель,148,71.42,20.77,0.0,6.61,43,245,22,52,361,1.5,0.188,0.66,0.851,17,0.2,3.9,0.35,0.33,4.5,0.2,7.79,1.94,0.175,0,0.155,0.189,0.202,0.528,65,12.6,7.4,1.17,0.0,58,0.0,0,0,0,0,0,0,17,3.254,1.499,1.149,79.0,1 fillet,85,3 oz,57,0.5,0.1
11300,PEAS,"PEAS,EDIBLE-PODDED,RAW",Овощи и фрукты,Горох,В Стручках,42,88.89,2.8,7.55,0.2,43,53,24,4,200,2.08,0.079,0.27,0.244,54,0.39,0.0,0.15,0.08,0.6,0.16,0.0,0.75,0.075,0,0.013,0.0,0.0,0.0,17,0.7,0.0,0.56,2.599999905,0,4.0,44,630,0,740,0,6,0,0.021,0.089,0.039,98.0,"1 cup, chopped",63,"1 cup, whole",1087,60.0,25.0
11304,PEAS,"PEAS,GREEN,RAW",Овощи и фрукты,Горох,Зелёный Горошек,81,78.86,5.42,14.45,0.4,25,108,33,5,244,1.47,0.176,1.24,0.41,38,0.13,0.0,0.266,0.132,2.09,0.169,0.0,0.104,0.152,0,0.035,0.0,0.0,0.0,28,1.8,0.5,0.87,5.099999905,0,5.670000076,21,449,0,2477,0,62,0,0.035,0.187,0.071,145.0,1 cup,0,,765,40.0,24.8
11641,SQUASH,"SQUASH,SMMR,ALL VAR,RAW",Овощи и фрукты,Кабачок,Обыкновенный,16,94.64,1.21,3.35,0.18,15,38,17,2,262,0.35,0.051,0.29,0.175,10,0.12,0.0,0.048,0.142,0.487,0.218,0.0,0.155,0.033,0,0.056,0.0,0.0,0.0,7,0.2,0.3,0.62,1.100000024,0,2.200000048,0,120,0,2125,0,5,0,0.016,0.089,0.044,113.0,"1 cup, sliced",323,1 large,200,17.0,3.0
11109,CABBAGE,"CABBAGE,RAW",Овощи и фрукты,Капуста,Белокочанная,25,92.18,1.28,5.8,0.1,40,26,12,18,170,0.47,0.019,0.18,0.16,5,0.15,0.0,0.061,0.04,0.234,0.124,0.0,0.212,0.017,0,0.0,0.0,0.0,0.0,11,0.3,0.75,0.64,2.5,0,3.200000048,33,42,0,30,0,20,0,0.017,0.017,0.034,89.0,"1 cup, chopped",70,"1 cup, shredded",98,36.6,76.0
11090,BROCCOLI,"BROCCOLI,RAW",Овощи и фрукты,Капуста,Брокколи,34,89.3,2.82,6.64,0.37,47,66,21,33,316,0.73,0.049,0.41,0.21,31,0.78,0.0,0.071,0.117,0.639,0.175,0.0,0.573,0.049,0,0.063,0.0,0.0,0.0,19,2.5,0.6,0.87,2.599999905,0,1.700000048,25,361,1,1403,0,39,0,0.011,0.038,0.039,90.93,"1 cup, chopped",608,1 bunch,623,89.2,101.6
11098,BRUSSELS SPROUTS,"BRUSSELS SPROUTS,RAW",Овощи и фрукты,Капуста,Брюссельская,43,86.0,3.38,8.95,0.3,42,69,23,25,389,1.4,0.07,0.42,0.337,38,0.88,0.0,0.139,0.09,0.745,0.219,0.0,0.309,0.045,0,0.099,0.001,0.0,0.0,19,1.6,0.0,1.37,3.799999952,0,2.200000048,6,450,0,1590,0,10,0,0.023,0.153,0.062,88.0,1 cup,19,1 sprout,754,85.0,177.0
11112,CABBAGE,"CABBAGE,RED,RAW",Овощи и фрукты,Капуста,Краснокочанная,31,90.39,1.43,7.37,0.16,45,30,16,27,243,0.8,0.017,0.22,0.243,56,0.11,0.0,0.064,0.069,0.418,0.209,0.0,0.147,0.034,0,0.045,0.001,0.0,0.0,17,0.6,0.0,0.64,2.099999905,0,3.829999924,0,670,0,329,20,20,0,0.012,0.08,0.021,89.0,"1 cup, chopped",70,"1 cup, shredded",1116,57.0,38.2
11135,CAULIFLOWER,"CAULIFLOWER,RAW",Овощи и фрукты,Капуста,Цветная,25,91.91,1.98,5.3,0.1,22,44,15,30,303,0.44,0.042,0.28,0.156,1,0.08,0.0,0.057,0.063,0.526,0.222,0.0,0.652,0.016,0,0.015,0.0,0.0,0.0,45,0.6,0.5,0.71,2.5,0,2.400000095,0,8,0,33,0,61,0,0.007,0.048,0.015,100.0,1 cup,13,1 floweret,13,46.4,16.0
11352,POTATO,"POTATO,FLESH & SKN,RAW",Овощи и фрукты,Картофель,Обыкновенный,77,79.34,2.02,17.47,0.09,12,57,23,6,421,0.78,0.108,0.29,0.153,0,0.01,0.0,0.08,0.032,1.054,0.295,0.0,0.296,0.032,0,0.01,0.0,0.0,0.0,12,0.3,1.2,1.08,2.200000048,0,0.779999971,0,1,0,8,0,25,0,0.002,0.043,0.026,369.0,"1 Potato, large (3"" to 4-1/4"" dia)",213,"1 Potato, medium (2-1/4"" to 3-1/4"" dia)",2,19.7,1.9
11124,CARROTS,"CARROTS,RAW",Овощи и фрукты,Морковь,Обыкновенный,41,88.29,0.93,9.58,0.24,33,35,12,69,320,0.3,0.045,0.24,0.143,835,0.66,0.0,0.066,0.058,0.983,0.138,0.0,0.273,0.1,0,0.002,0.0,0.0,0.0,9,0.1,1.8,0.97,2.799999952,0,4.739999771,3477,8285,0,256,1,11,0,0.014,0.117,0.037,128.0,"1 cup, chopped",110,"1 cup, grated",16706,5.9,13.2
11205,CUCUMBER,"CUCUMBER,WITH PEEL,RAW",Овощи и фрукты,Огурец,Обыкновенный,15,95.23,0.65,3.63,0.11,16,24,13,2,147,0.28,0.041,0.2,0.079,5,0.03,0.0,0.027,0.033,0.098,0.04,0.0,0.259,0.028,0,0.005,0.0,0.0,0.0,6,0.3,0.5,0.38,0.5,0,1.669999957,11,45,26,23,0,3,0,0.005,0.032,0.037,52.0,".5 cup, slices",301,"1 cucumber,  (8-1/4"")",105,2.8,16.4
11564,TURNIPS,"TURNIPS,RAW",Овощи и фрукты,Репа,Обыкновенный,28,91.87,0.9,6.43,0.1,30,27,11,67,191,0.3,0.085,0.27,0.134,0,0.03,0.0,0.04,0.03,0.4,0.09,0.0,0.2,0.012,0,0.04,0.0,0.0,0.0,11,0.7,0.3,0.7,1.799999952,0,3.799999952,0,0,0,0,0,19,0,0.006,0.053,0.011,130.0,"1 cup, cubes",183,1 large,0,21.0,0.1
11080,BEETS,"BEETS,RAW",Овощи и фрукты,Свёкла,Обыкновенный,43,87.58,1.61,9.56,0.17,16,40,23,78,325,0.8,0.075,0.35,0.329,2,0.04,0.0,0.031,0.04,0.334,0.067,0.0,0.155,0.055,0,0.005,0.0,0.0,0.0,6,0.7,0.5,1.08,2.799999952,0,6.760000229,0,20,0,0,0,33,0,0.032,0.06,0.027,136.0,1 cup,82,"1 beet,  (2"" dia)",33,4.9,0.2
11422,PUMPKIN,"PUMPKIN,RAW",Овощи и фрукты,Тыква,Обыкновенный,26,91.6,1.0,6.5,0.1,21,44,12,1,340,0.8,0.127,0.32,0.125,369,1.06,0.0,0.05,0.11,0.6,0.061,0.0,0.298,0.002,0,0.003,0.0,0.0,0.0,8,0.3,0.0,0.8,0.5,0,1.360000014,515,3100,2145,1500,0,30,0,0.013,0.005,0.052,116.0,"1 cup,  (1"" cubes)",0,,7384,9.0,1.1
11046,BEANS,"BEANS,NAVY,MATURE SEEDS,SPROUTED,RAW",Овощи и фрукты,Фасоль,"Белая, Пророщенные",67,79.15,6.15,13.05,0.7,15,100,101,13,307,1.93,0.356,0.89,0.408,0,0.0,0.0,0.39,0.215,1.22,0.191,0.0,0.825,0.147,0,0.26,0.0,0.0,0.0,0,0.6,1.0,0.95,0.0,0,0.0,0,0,0,0,0,0,0,0.052,0.407,0.085,104.0,1 cup,0,,4,18.8,0.0
11052,BEANS,"BEANS,SNAP,GREEN,RAW",Овощи и фрукты,Фасоль,"Зелёная Стручковая Фасоль,",31,90.27,1.82,7.13,0.12,37,38,25,6,209,1.04,0.069,0.24,0.214,35,0.41,0.0,0.084,0.105,0.752,0.074,0.0,0.094,0.044,0,0.069,0.0,0.0,0.0,15,0.6,1.0,0.66,3.400000095,0,1.399999976,69,379,0,640,0,12,0,0.005,0.059,0.026,110.0,1 cup,55,"10 beans,  (4"" long)",690,16.3,14.4
11029,BEANS,"BEANS,KIDNEY,MATURE SEEDS,SPROUTED,RAW",Овощи и фрукты,Фасоль,"Красная, Пророщенные",29,90.7,4.2,4.1,0.5,17,37,21,6,187,0.81,0.159,0.4,0.182,0,0.0,0.0,0.37,0.25,2.92,0.085,0.0,0.368,0.107,0,0.169,0.0,0.0,0.0,0,0.6,1.0,0.5,0.0,0,0.0,0,0,0,0,0,0,0,0.039,0.276,0.072,184.0,1 cup,0,,2,38.7,0.0
9021,APRICOTS,"APRICOTS,RAW",Овощи и фрукты,Фрукты,Абрикосы,48,86.35,1.4,11.12,0.39,13,23,10,1,259,0.39,0.078,0.2,0.077,96,0.89,0.0,0.03,0.04,0.6,0.054,0.0,0.24,0.077,0,0.0,0.0,0.0,0.0,3,0.1,0.0,0.75,2.0,0,9.239999771,19,1094,104,89,0,7,0,0.17,0.077,0.027,155.0,"1 cup,  halves",165,"1 cup, sliced",1926,10.0,3.3
9040,BANANAS,"BANANAS,RAW",Овощи и фрукты,Фрукты,Бананы,89,74.91,1.09,22.84,0.33,5,22,27,1,358,0.26,0.078,0.15,0.27,3,0.1,0.0,0.031,0.073,0.665,0.367,0.0,0.334,0.046,0,0.027,0.0,0.0,0.0,10,1.0,2.25,0.82,2.599999905,0,12.22999954,25,26,0,22,0,36,0,0.032,0.073,0.112,225.0,"1 cup, mashed",150,"1 cup, sliced",64,8.7,0.5
9252,PEARS,"PEARS,RAW",Овощи и фрукты,Фрукты,Груши,58,83.71,0.38,15.46,0.12,9,11,7,1,119,0.17,0.082,0.1,0.049,1,0.12,0.0,0.012,0.025,0.157,0.028,0.0,0.048,0.093,0,0.001,0.0,0.0,0.0,5,0.1,1.0,0.33,3.099999905,0,9.800000191,0,13,2,45,0,10,0,0.026,0.029,0.006,148.04,1 small,178,1 medium,23,4.2,4.5
9003,APPLES,"APPLES,RAW,WITH SKIN",Овощи и фрукты,Фрукты,Яблоки,52,85.56,0.26,13.81,0.17,6,11,5,1,107,0.12,0.027,0.04,0.035,3,0.18,0.0,0.017,0.026,0.091,0.041,0.0,0.061,0.043,0,0.009,0.0,0.0,0.0,3,0.0,0.77,0.19,2.400000095,0,10.39000034,0,27,11,29,0,10,0,0.007,0.051,0.028,125.0,"1 cup, quartered or chopped",109,"1 cup, slices",54,4.6,2.2
9042,BLACKBERRIES,"BLACKBERRIES,RAW",Овощи и фрукты,Ягоды,Ежевика,43,88.15,1.39,9.61,0.49,29,22,20,1,162,0.62,0.165,0.53,0.646,11,1.17,0.0,0.02,0.026,0.646,0.03,0.0,0.276,0.186,0,0.094,0.0,0.0,0.0,8,0.4,0.4,0.37,5.300000191,0,4.880000114,0,128,0,118,0,4,0,0.047,0.28,0.014,144.0,1 cup,0,,214,21.0,19.8
